Company,Address,Postal code,City,Country,Website,Phone,Online,Physical,Latitude,Longitude,State/Province
,Steenweg Deinze 33,9810,Nazareth,,https://www.thebabyscorner.be/search?q=sebra,,X,X,50.9511387,3.5742611,
,HERLEGEM 48,9700,OUDENAARDE,,,,X,X,50.8777336,3.6082841,
,Sint Jorisstraat 26,9300,Aalst,,https://www.room4kids.be/?a=catalog&search=sebra,,X,X,50.9371845,4.0377306,
,Jozef Huysmanslaan 59,1651,Lot-Beersel,BE,,+32 478 299 050,X,,50.7703522,4.2801368,
,Brusselsesteenweg 79,1850,Grimbergen,,https://contedefee.be/,,X,X,50.9317562,4.3651657,
,Jules Moretuslei 279,2610,Antwerpen - Wilrijk,,,,,X,51.172807,4.3947582,
,Vredebaan 71,2640,Mortsel,,,,,X,51.1726763,4.4383776,
,Koningin Astridlaan 82c,2550,Kontich,,http://www.hetlandvanooit.be,,X,X,51.1365865,4.4583495,
,Rucphensebaan 10,4706 PJ,Roosendaal,NL,https://www.babypark.nl/merken/sebra.html,,X,X,51.5360277,4.4877406,
,Rucphensebaan 10,4706 PJ,Roosendaal,NL,https://www.babypark.nl/merken/sebra.html,,X,X,51.5360277,4.4877406,
,Aalborg 15,2993 LP,Barendrecht,NL,https://www.babypark.nl/merken/sebra.html,,X,X,51.8509684,4.5144627,
,Aalborg 15,2993 LP,Barendrecht,NL,https://www.babypark.nl/merken/sebra.html,,X,X,51.8509684,4.5144627,
,Staf Larochelaan 37,2960,Brecht,,,,,X,51.3033222,4.5825078,
,Passage de l'Ergot 36,1348,Louvain-la-Neuve,BE,https://www.citrongrenadine.be/marques/sebra/,,,X,50.6692384,4.6140011,
,Industriestraat 15,2802 AC,Gouda,NL,https://www.babypark.nl/merken/sebra.html,,X,X,52.0129464,4.6920655,
,Industriestraat 15,2802 AC,Gouda,NL,https://www.babypark.nl/merken/sebra.html,,X,X,52.0129464,4.6920655,
,Baalsebaan 283,3128,Tremelo,,https://www.dekinderplaneet.be/search?q=sebra,,X,X,50.9951448,4.7453434,
,Marisstraat 23,3364 AZ,Sliedrecht,,,,,X,51.8315967,4.7546264,
,Otterdaelstraat 26,2310,RIJKEVORSEL,,https://celestconceptstore.be/,,X,X,51.3578796,4.7616386,
,Samsonweg 21,1521 RA,Wormerveer,NL,https://www.babypark.nl/merken/sebra.html,,X,X,52.5044185,4.7819387,
,Samsonweg 21,1521 RA,Wormerveer,NL,https://www.babypark.nl/merken/sebra.html,,X,X,52.5044185,4.7819387,
,Affuitenhal 10,1505,RE Zaandam,,https://www.flinders.nl/sebra,,X,,52.4223295,4.8298359,
,5 place Maréchal Lyautey,69006,Lyon,,,,,X,45.7694861,4.8422617,
,Reguliersgracht 70,1017 LV,Amsterdam,NL,https://thearchivestore.com/collections/sebra,,X,X,52.362382,4.895724,
,Middelgraaf 98,5025,Tilburg,NL,https://lovestudio.nl/?s=sebra&post_type=product&dgwt_wcas=1,,X,X,51.5422096,5.0420915,
,Marowijne 13 D,1689,Zwaag,NL,,,X,,52.6714152,5.077151,
,John Stuart Millweg 3,1689,Zwaag,NL,,,X,X,52.680929,5.0805914,
,Gietijzerstraat 56,3534 AV,Utrecht,NL,https://www.ilovespeelgoed.nl/speelgoedmerken/sebra.html,,X,X,52.1023974,5.0828342,
,Vughterstraat 123,5211,GA Den Bosch,,http://www.moedersmooiste.eu/zoekresultaten/,,X,X,51.6864697,5.2984466,
,Sandviksbodene 12-14,5035,Bergen,NO,,,,X,60.4072424,5.3213699,
,Vilhelm Bjerknesvei 4,5081,Bergen,,,,,X,60.3562426,5.359549,
,De Run 3109,5503 LH,Veldhoven,NL,https://www.babypark.nl/merken/sebra.html,,X,X,51.412326,5.4207757,
,De Run 3109,5503 LH,Veldhoven,NL,https://www.babypark.nl/merken/sebra.html,,X,X,51.412326,5.4207757,
,Hamburgweg 16,3825 PA,Amersfoort,NL,https://www.babypark.nl/merken/sebra.html,,X,X,52.1810293,5.4227728,
,Hamburgweg 16,3825 PA,Amersfoort,NL,https://www.babypark.nl/merken/sebra.html,,X,X,52.1810293,5.4227728,
,SNC EMILIE ET COMPAGNIEAngle 9 Rue Paul Bert/Rue Gran,13100,Aix en Provence,,https://www.emilieetcompagnie.com/search?q=sebra,,X,,43.5304197,5.4486664,
,De Kinder CompagniePrelaat Van de Bergplein 5,5396,PH Lithoijen,,,,,X,51.8009283,5.4591853,
,Jan van Schaffelaarstraat 50,,Barneveld,NL,https://www.ikenik.nl/,088 - 86 59 399,X,X,52.1408453,5.5872061,
,Batterijenweg 19,4041 DA,Kesteren,NL,https://www.babypark.nl/merken/sebra.html,,X,X,51.9371693,5.5923356,
,Batterijenweg 19,4041 DA,Kesteren,NL,https://www.babypark.nl/merken/sebra.html,,X,X,51.9371693,5.5923356,
,Grotestraat 15,6653,BJ Deest,NL,https://www.elenfhant.com/collections/sebra,,X,X,51.8900364,5.665309,
,Lagerveien 2,4033,Stavanger,,https://www.skeidar.no/sok/Index?q=sebra&type=Products&filter=&sort=6&page=2,,X,X,58.8958051,5.7011728,
,Broerdijk 64,6523 HB,Nijmegen,,https://sterreentijl.nl/product-categorie/merkenshop/sebra/,,X,,51.8341611,5.8857627,
,2004 AV ARISTIDE BRIAND,83190,Ollioules,FR,,,X,,43.1200279,5.8868963,
,In de Cramer 90,6412 PM,Heerlen,NL,https://www.babypark.nl/merken/sebra.html,,X,X,50.8972749,5.9513769,
,In de Cramer 90,6412 PM,Heerlen,NL,https://www.babypark.nl/merken/sebra.html,,X,X,50.8972749,5.9513769,
,Vaassenseweg 31 A,7397,Nijbroek,NL,,,,,52.2812621,6.0692229,
,Rue des Photographes 2,1207,Genève,CH,,,X,X,46.2020815,6.1592571,
,Rue Jean-jacques-rousseau 38,1201,Genève,CH,,,X,X,46.2080374,6.1427291,
,Wethouder Buitenhuisstraat 4D,7951 SM,Staphorst,NL,https://www.babypark.nl/merken/sebra.html,,X,X,52.6290328,6.2084443,
,Wethouder Buitenhuisstraat 4D,7951 SM,Staphorst,NL,https://www.babypark.nl/merken/sebra.html,,X,X,52.6290328,6.2084443,
,"Route de l'industrie, 14",1163,Etoy,CH,,,X,X,46.4746497,6.427141,
,Route De L'industrie 14,1163,Etoy,CH,,,X,X,46.4746497,6.427141,
,Stationsweg 7a,7468 AS,,Enter,https://www.babypark.nl/merken/sebra.html,,X,X,52.2898362,6.5709589,
,Stationsweg 7a,7468 AS,,Enter,https://www.babypark.nl/merken/sebra.html,,X,X,52.2898362,6.5709589,
,Im Siebenborn 4,54294,Trier-Zewen,DE,https://moebelehrmann.de/sebra/,0651 82890-0,X,X,49.7216928,6.5863075,
,Im Siebenborn 4,54294,Trier-Zewen,DE,https://moebelehrmann.de/sebra/,,X,X,49.7216928,6.5863075,
,Rue de Saint-Martin 3,1003,Lausanne,CH,,,X,X,46.5215028,6.6365511,
,Puits-Godet 16,2000,Neuchâtel,CH,,,,X,46.9983884,6.9112447,
,Route du Simplon 18,1845,Noville,CH,,,X,X,46.3880632,6.9204986,
,Luxemburger Str. 152,50937,Köln,DE,https://www.nicenordic.de/sebra,,X,,50.9207186,6.9309399,
,Chemin des Empetieres 5,2056,Dombresson,CH,,,X,,47.0735706,6.9652581,
,Rue de la Poterne 21,1630,Bulle,CH,,,,X,46.6207012,7.0589802,
,Margit Bottosso oHGEchternacher Strasse 1,53842,Troisdorf-Spich,,,,,X,50.8184916,7.1145309,
,Dückerweg 19,44867,Bochum,DE,https://www.babypark.de/marken/sebra.html,,X,X,51.4742775,7.1503625,
,Dückerweg 19,44867,Bochum,DE,https://www.babypark.de/marken/sebra.html,,X,X,51.4742775,7.1503625,
,Untermarkt 1,45525,Hattingen,DE,,+49-2324-597282,,X,51.3983357,7.1836089,
,Rue Centrale 39,2502,Biel/Bienne,CH,,,,X,47.1376472,7.2460541,
,Haupt Strasse 2,42929,Wermelskirchen,,https://www.skandic.de/Sebra,,X,X,51.1071925,7.2588531,
,Stadtplatz 44,3270,Aarberg,CH,,,X,X,47.0443624,7.2754024,
,Route des Rottes 40,1964,Conthey,CH,,,X,X,46.222909,7.305783,
,Av. du Midi 9,1950,Sion,CH,,,,X,46.2311357,7.359775,
,Stapfenstrasse 3,3098,Köniz,CH,,,,X,46.9228635,7.4151279,
,Effingerstrasse 41,3011,Bern,CH,,,X,X,46.9457196,7.4305506,
,Hirschengraben 11,3011,Bern,CH,,,,X,46.9464233,7.4381935,
,Marktgasse 38,3011,Bern,CH,,,X,X,46.9482148,7.4452276,
,Münstergasse 37,3011,Bern,CH,,,,X,46.9473788,7.4502593,
,Gerechtigkeitsgasse 69,3011,Bern,CH,,,X,X,46.9479313,7.4529753,
,Luisenstrasse 46,3005,Bern,CH,,,X,X,46.9404335,7.4530145,
,Ey 11,3063,Bern-Ittigen,CH,,,,X,46.9739919,7.4712724,
,"CORSO ITALIA, 12",12037,SALUZZO,,,+39 351 9003689,X,X,44.6451503,7.4921984,
,Schützenmauerweg 4,3322,Urtenen-Schönbühl,CH,,,X,X,47.0266339,7.501017,
,12 rue des Halliers,68300,Saint-Louis,FR,,,X,X,47.5792531,7.5135959,
,Hauptgasse 18,4500,Solothurn,CH,,,,X,47.2070573,7.5362467,
,Löwengasse 14,4500,Solothurn,CH,,,X,X,47.2065792,7.5366405,
,Via Gramsci 2,10098,Torino,IT,,,X,X,45.0732727,7.5382379,
,Via Roma 35,12100,Cuneo,IT,,,X,X,44.3921081,7.550613,
,Steinengraben 40,4051,Basel,CH,,,X,X,47.5534481,7.5857031,
,Im Schwarzenbach 4,79576,Weil am Rhein,,https://www.drei-kaese-hoch.ch/Sebra:.:26.html,,X,,47.5918357,7.5994339,
,Ermitagestrasse 12,4144,Arlesheim,CH,,,X,X,47.4939268,7.6211147,
,Bälliz 26,3600,Thun,CH,,,,X,46.7590953,7.6267353,
,Unterdorfstrasse 51,3612,Steffisburg,CH,,,,X,46.775211,7.6336406,
,Via Vittorio Emanuele Ii 24 Bis,10123,Torino,IT,,,X,X,45.0603073,7.6866869,
,Alleestrasse 1,3550,Langnau,CH,,,X,X,46.9415458,7.7857919,
,Hyggelina CarolinensielAm Hafen West 1,26409,Wittmund,,,,,X,53.6905614,7.8014712,
,Farnesvegen 1,6884,Øvre Årdal,,,,,X,61.3102748,7.8079668,
,Engelbergerstrasse 23,79160,Freiburg,,,,,X,47.9964335,7.8361785,
,Rössligasse 1,4460,Gelterkinden,CH,,,X,X,47.4645894,7.8557695,
,Kantonsstrasse 1,3930,Eyholz,CH,,,X,X,46.2945249,7.9053718,
,Wiggerweg 18,4802,Strengelbach,CH,,,X,,47.2829555,7.9341577,
,Via Coppa 4/D,12151,Alba,IT,,,X,X,44.700217,8.0360911,
,"Via Statale Lago Di Viverone , 28",10010,Burolo,IT,,,X,X,45.4821876,7.9336542,
,Buchserstrasse 15,5000,Aarau,CH,,,X,X,47.3913487,8.0599982,
,Bernstrasse Ost 49,5034,Suhr,CH,,,X,X,47.3737782,8.0842661,
,Christoph-Schnyderstrasse 1a,6210,Sursee,CH,,,X,X,47.1718159,8.1023881,
,Lotschstraße 9,76829,Landau in der Pfalz,,https://moebelehrmann.de/,,X,X,49.2092645,8.112069,
,Barstøl veien 50-54,4636,Kristiansand,,https://www.skeidar.no/sok/Index?q=sebra&type=Products&filter=&sort=6&page=2,,X,X,58.1752781,8.1304534,
,Korbackerweg 19,5502,Hunzenschwil,CH,,,X,X,47.3862938,8.1313429,
,Bahnhofstrasse 2,6203,Sempach Station,CH,,,X,X,47.1161105,8.1959293,
,St.-Christophorus-Straße 4-6,76863,Herxheim,DE,https://moebelehrmann.de/sebra/,07276 980-0,X,X,49.13602,8.21388,
,St.-Christophorus-Straße 4-6,76863,Herxheim,DE,https://moebelehrmann.de/sebra/,,X,X,49.13602,8.21388,
,Hintermättlistrasse 3,5506,Mägenwil,CH,,,X,,47.4105236,8.2234351,
,Rauentaler Str. 54,76437,Rastatt,DE,https://moebelehrmann.de/sebra/,07222 5012-0,X,X,48.8584314,8.2367207,
,Rauentaler Str. 54,76437,Rastatt,DE,https://moebelehrmann.de/sebra/,,X,X,48.8584314,8.2367207,
,Marktstrasse 2a,6060,Sarnen,CH,,,,X,46.8961511,8.2486308,
,Aarestrasse 2a,5312,Döttingen,CH,,,,X,47.5736116,8.2543425,
,Täfernstrasse 1,5405,Baden-Dättwil,CH,,,X,X,47.4492901,8.2919825,
,Industriestrasse 12,6010,Kriens,CH,,,X,X,47.024212,8.2987264,
,Frankenstrasse 18,6003,Luzern,CH,,,X,X,47.0487336,8.3069629,
,"Via Bernini, 5",17024,Finale Ligure,IT,,,X,X,44.1697466,8.345045,
,Wormser Straße 119,67227,Frankenthal,DE,https://moebelehrmann.de/sebra/,06233 4969-0,X,X,49.549786,8.3512935,
,Wormser Straße 119,67227,Frankenthal,DE,https://moebelehrmann.de/sebra/,,X,X,49.549786,8.3512935,
,C.So Susa 11,10098,Rivoli,IT,,,X,X,45.0711476,7.519723,
,Buochserstrasse 5,6370,Stans,CH,,,,X,46.9585724,8.3682348,
,Huobmattstrasse 5,6045,Meggen,CH,,,X,X,47.0507272,8.381051,
,Schulhausstrasse 19,8955,Oetwil an der Limmat,CH,,,X,,47.4260908,8.4021308,
,Zürcherstrasse 49,8953,Dietikon,CH,,,,X,47.4033197,8.4049279,
,Smedevej 6,6710,Esbjerg V,DK,https://www.kids-world.dk/advanced_search_result.php?keywords=sebra,,X,,55.5063921,8.4162542,
,Brandstrasse 55,8952,Schlieren,CH,,,X,X,47.4006649,8.4396867,
,Gl Vardevej 243,6715,Esbjerg N,DK,https://www.babysam.dk/search?s=sebra&all=true&brands=sebra,,X,X,55.5084365,8.4531653,
,Gl Vardevej 243,6715,Esbjerg N,DK,https://www.babysam.dk/search?s=sebra&all=true&brands=sebra,,X,X,55.5084365,8.4531653,
,Lillebæltsvej 93,6715,Esbjerg N,DK,http://www.sebra.dk,+45 7554 1803,X,,55.5035226,8.4656921,
,Allmendstrasse 153,8041,Zürich,CH,,,X,X,47.3380911,8.5194358,
,Hovedgaden 9-13,7752,Snedsted,DK,,,X,X,56.8925888,8.5322079,
,Predigergasse 18,8001,Zürich,CH,,,X,X,47.3735008,8.5460375,
,Hadlaubstrasse 20,8044,Zürich,CH,,,X,X,47.3826348,8.55502,
,Hauptstraße 201,68799,Reilingen,DE,https://moebelehrmann.de/sebra/,06205 9402-0,X,X,49.2875763,8.5639342,
,Hauptstraße 201,68799,Reilingen,DE,https://moebelehrmann.de/sebra/,,X,X,49.2875763,8.5639342,
,Am Erlenbach 14-18,61273,Wehrheim,DE,https://www.bio-kinder.de/search/?query=sebra,,X,X,50.2954707,8.5642206,
,Storgaten 12,4876,Grimstad,NO,,,X,X,58.3411983,8.5937429,
,Dorfstrasse 11,8816,Horgen,CH,,,,X,47.2142365,8.6101798,
,Nyholmvej 7,7500,Holstebro,,,,X,X,56.3774001,8.6207938,
,Zur Stahlgiesserei 2,8200,Schaffhausen,CH,,,X,X,47.703062,8.630057,
,Mülihalden 7,8303,Bassersdorf,CH,,,X,,47.4454128,8.6332349,
,Vordergasse 47,8200,Schaffhausen,CH,,,X,X,47.6960409,8.635846,
,Muensterplatz 20,8200,Schaffhausen,CH,,,X,X,47.6956982,8.636538,
,Rathausplatz 3,6460,Altdorf,CH,,,,X,46.8816295,8.6435561,
,Am Weingarten 17,60487,Frankfurt,,,,,X,50.1233419,8.6477165,
,Bergstrasse 3,8706,Meilen,CH,,,,X,47.2669232,8.6502738,
,Oberdorfstrasse 17,8820,Wädenswil,CH,,,X,X,47.2281158,8.6689858,
,Rosenbergstrasse 1,8820,wädenswil,CH,,,X,X,47.2293967,8.6693775,
,Grüneburgweg 94,60323,Frankfurt,DE,https://coonico.de/search?q=sebra,,X,X,50.1226452,8.6672838,
,Rundihalde 10,8707,Uetikon am See,CH,,,X,X,47.2710542,8.6792944,
,Bahnhofweg 2,8132,Egg,CH,,,X,X,47.3027218,8.6903546,
,Hedevej 3,6740,Bramming,,,,,X,55.4596174,8.7111328,
,"VIA DEL GREGGE, 1,",21015,LONATE POZZOLO,IT,,+39 0331 302030,X,X,45.5808276,8.7173155,
,Neustadtgasse 26,8400,Winterthur,CH,,,,X,47.4993887,8.7328336,
,"46, Rue Fesch",20000,Ajaccio,,,,,X,41.9215343,8.7380408,
,Hauptstrasse 43,8840,Einsiedeln,CH,,,X,X,47.1272726,8.7467915,
,VIA BERNARDINO LUINI 36,21016,LUINO,IT,,+39 0332253459,X,X,45.998672,8.7465201,
,Westernstrasse 40,33098,Paderborn,,https://www.babyshop.de/sebra:.:116.html,,X,X,51.7159905,8.7475629,
,23 Avenue Noël Franchini,20090,AJACCIO,,,,,X,41.941891,8.755793,
,Alte Frauenfelderstrasse 9,8542,Wiesendangen,,https://ernybabyworld.ch/marke/sebra/,,X,,47.5230848,8.7731907,
,Bolstrasse 1,8620,Wetzikon,CH,,,X,X,47.3347736,8.799091,
,Spinnereistr. 29,8640,Rapperswil,CH,,,X,X,47.2311329,8.8317893,
,CORSO SEMPIONE 4,21052,BUSTO ARSIZIO,,,+39 0331 683141,X,X,45.6204995,8.8675194,
,Via Canevari 70/72 R,16137,Genova,IT,,,X,X,44.4125409,8.951834,
,Hammershusvej 8,7400,Herning,,https://www.luxoliving.dk/sebra/,,X,X,56.155501,8.9697506,
,Absalonsvej 6,7400,Herning,,,,X,X,56.1341453,9.001485,
,VIA GIUSEPPE GARIBALDI 24,27058,VOGHERA,,,+39 0383 41608,X,X,44.9921528,9.0104934,
,Virkelyst 36,7400,Herning,,https://www.borneneskartel.dk/produkter/205-sebra/,,X,X,56.1471987,9.0533604,
,Centro 6,8754,Netstal,CH,,,X,X,47.0689241,9.05668,
,Weinfelderstrasse 21b,8560,Märstetten,CH,,,X,X,47.5818072,9.0690627,
,Am Glockenturm 6,63814,Mainaschaff,,https://www.littlelounge.de/?s=sebra,,X,X,49.9886519,9.0829933,
,VIA MAZZINI 10,22063,CANTU',IT,,+39 3472520420,X,X,45.746308,9.1228034,
,VIA DEI LIGURI 29,27100,PAVIA,,,+39 3938305405,X,X,45.1837372,9.1522722,
,Via Filippo Turati 3,20121,Milano,IT,,,,X,45.4734692,9.1947901,
,VIA FILIPPO TURATI 3,20121,MILANO,,,+39 0239195096,,X,45.4734692,9.1947901,
,Schändrichstrasse 7,9230,Flawil,CH,,,X,X,47.4091579,9.2000736,
,Via Felice Bellotti 1,20129,Milano,IT,https://mashhh.store/collections/sebra,+39 389 533 40 58,X,X,45.4708743,9.2069953,
,Corso Lodi 47,20139,Milano,IT,,,X,X,45.4467669,9.2115542,
,VIALE ABRUZZI 51,20131,MILANO,IT,,+39 02 29409287,X,X,45.4807666,9.2167252,
,CORSO MILANO 23,20900,MONZA,,,+39 039 327834,X,X,45.577939,9.2719473,
,Breitfeldstrasse 8,9015,St.Gallen,CH,,,X,X,47.408695,9.3115382,
,Lehhaldenstrasse 17,9030,Abtwil,CH,,,X,,47.4303758,9.3229919,
,Heerbergstrasse 8,71384,Weinstadt-Endersbach,,https://steybe.de/search?type=product&q=sebra*,,X,X,48.8141694,9.354125,
,Holstebrovej 81N,8800,Viborg,,,,X,X,56.4466213,9.3647657,
,Unterstrasse 4,9000,St. Gallen,CH,,,X,,47.4204738,9.3705607,
,Spisergasse 42,9000,St.Gallen,CH,,,,X,47.42442,9.3790262,
,Egtved Allé 3,6000,Kolding,,,,X,X,55.5164727,9.4603908,
,Heuteilstrasse 20,7310,Bad Ragaz,CH,,,X,X,47.0142575,9.5023959,
,Rossbodenstrasse 17,7000,Chur,CH,,,,X,46.851306,9.5039949,
,Landstrasse 117,9490,Vaduz,CH,,,,X,47.1547007,9.5102363,
,Nørrevænget 1,8600,Silkeborg,,,,X,X,56.1824128,9.5385504,
,Solkilde Alle 5A,7100,Vejle,,,,X,X,55.7251737,9.5833559,
,Bahnhofstrasse 6,9443,Widnau,CH,,,,X,47.4071275,9.6304866,
,Hårup Bygade 14,8600,Silkeborg,DK,https://hjem.dk/shop/3574-sebra/,,,X,56.1526412,9.6452252,
,Højmarksvej 34,8723,Løsning,DK,,,,,55.8010284,9.6482342,
,Højmarksvej 34,8723,Løsning,,https://www.interiorshop.dk/shop/sebra-333c1.html,,X,,55.8010284,9.6482342,
,Poststrasse 57,7050,Arosa,CH,,,X,X,46.7819837,9.679791,
,,30159,Hannover,,https://www.connox.de/sebra.html,,X,,52.3749839,9.7388153,
,Grundvigs Alle 196B,6400,Sønderborg,,,,X,X,54.9235074,9.8094489,
,Porsborgparken 15,9530,Støvring,,https://luksusbaby.dk/shop/sebra-408c1.html,,X,,56.8922556,9.8154557,
,Ove Jensens Allé 11D,8700,Horsens,,,,X,X,55.8580542,9.8493838,
,Hobrovej 440,9200,Aalborg SV,,,,X,X,57.0054817,9.8807184,
,Møllegade 13,9000,Aalborg,DK,https://luksusbaby.dk/shop/sebra-408c1.html,,X,X,57.0461595,9.921965,
,Nytorv 8,9000,Aalborg,,,,,X,57.0482252,9.9225462,
,Lustenauer Strasse 10,6850,Dornbirn,AT,http://www.ediths.at,,X,X,47.4065497,9.7388214,
,VIALE DELLA PACE 19,19038,SARZANA,IT,,+39 0187 625933,X,X,44.1116289,9.9568181,
,,20146,Hamburg,,https://www.hipster-baby.de/produkt-kategorie/marken/sebra/,,X,,53.5688101,9.9819779,
,Neuer Wall 54,20354,Hamburg,,,,,X,53.5511275,9.9885776,
,Frederikhavnsvej 88,9800,Hjørring,,,,X,X,57.4555742,10.016386,
,Marsvej 47,8960,Randers SØ,,,,X,X,56.428672,10.0605211,
,Agerøvej 27,8381,Tilst,,,,X,X,56.1823435,10.1122769,
,Ringvej Syd 98 A,8270,Højbjerg,,,,X,X,56.1164609,10.1533631,
,Piazza Garibaldi 2,55042,Forte Dei Marmi,IT,,,X,X,43.9591941,10.1698888,
,"Søren Frichsvej 38K, 1. sal",8230,Åbyhøj,DK,https://www.pixizoo.dk/maerker-sebra,,X,,56.153241,10.177108,
,Untere Bachgasse 5,87700,Memmingen,,,,,X,47.9851043,10.1804194,
,Gneisveien 13,3221,Sandefjord,,https://www.mimmis.no/sebra,,X,,59.1398924,10.1826958,
,Ryesgade 27,Aarhus C,8000,DK,https://luksusbaby.dk/shop/sebra-408c1.html,,X,X,56.1517554,10.2052204,
,Søndergade 27,8000,Aarhus C,,,,,X,56.1547167,10.2071588,
,Søndergade 27,8000,Aarhus C,,https://salling.dk/maerker/legetoej/sebra/c-10042/,,X,,56.1547167,10.2071588,
,Immervad 2-8,8000,Aarhus C,,,,,X,56.1569351,10.2058703,
,Søndre Kullerød 8,3241,Sandefjord,NO,http://ohdearbaby.no,+47 96 83 76 46,X,,59.1741913,10.2149921,
,Mageløs 2 (Indgang fra Klaregade),5000,Odense C,DK,https://allaboutkids.dk/search?q=sebra&options%5Bprefix%5D=last,,X,X,55.3942552,10.3857182,
,Vestergade 20,5000,Odense C,,,,,X,55.3957258,10.3869238,
,Tagtækkervej 8,5230,Odense M,,,,X,X,55.384672,10.4228865,
,Vogellund 31,1394,Nesbru,,https://www.skeidar.no/sok/Index?q=sebra&type=Products&filter=&sort=6&page=2,,X,X,59.8547097,10.4814626,
,Kanadaveien 323,3520,JEVNAKER,,https://www.miniverden.no/collections/sebra,,,X,60.2585784,10.4883691,
,Vertshusveien 8afd. Lilleverket,1353,Bærums Verk,,https://verketinterior.no/?s=sebra,,X,X,59.9404178,10.5014603,
,"Corso Matteotti, 180",57023,Cecina,IT,,,X,X,43.3097854,10.5180634,
,Haakon IIV Gate 10,251,Oslo,,https://www.illumsbolighus.no/brand/sebra?start=0&sz=72,,X,X,59.9136856,10.7271384,
,Strandgaten 20,251,Oslo,,,,,X,59.9102141,10.7497457,
,VIA BRUCETO 65,51010,MASSA E COZZILE,IT,,+39 0572 910092,X,X,43.8786049,10.7585351,
,Kongegade 27 st,5800,Nyborg,,https://www.tingatango.dk/?s=sebra&post_type=product&lang=da,,X,X,55.3115522,10.7914612,
,Strømsveien 245,668,Oslo,NO,https://www.skeidar.no/sok/Index?q=sebra&type=Products&filter=&sort=6&page=2,,X,X,59.9265539,10.8480981,
,Corso Milano 92/A,37138,Verona,IT,,,X,X,45.4452897,10.9592686,
